Arsenal,Arsenal FC,Arsenal F.C.
Bournemouth,AFC Bournemouth,
Brighton & Hove Albion,Brighton,
Burnley,Burnley FC,Burnley F.C.
Cardiff City,Cardiff,
Chelsea,Chelsea FC,Chelsea F.C.
Crystal Palace,Palace,
Everton,Everton FC,Everton F.C.
Fulham,Fulham FC,Fulham F.C.
Huddersfield Town,Huddersfield,
Leicester City,Leicester,
Liverpool,Liverpool FC,Liverpool F.C.
Manchester City,City,
Manchester United,United,
Newcastle United,,
Southampton,,
Tottenham Hotspur,Tottenham,
Watford,Watford FC,Watford F.C.
West Ham United,West Ham,
Wolverhampton Wanderers,Wolverhampton,