Atlanta United FC,Atlanta,Atlanta United,Atlanta United F.C.,
Chicago Fire,Chicago,Fire,,
Columbus Crew SC,Columbus,,,
D.C. United,DC United,,,
Montreal Impact,Impact,Montreal,,
New England Revolution,NE Revolution,Revolution,New England,
New York City FC,NYCFC,New York City,,
New York Red Bulls,NYRB,New York RB,,
Orlando City SC,Orlando,,,
Philadelphia Union,Philadelphia,,,
Toronto FC,Toronto,,,
Colorado Rapids,Colorado,,,
FC Dallas,Dallas,,,
Houston Dynamo,Houston,Dynamo,,
LA Galaxy,LA,Galaxy,Los Angeles Galaxy,
Los Angeles FC,LAFC,,,
Minnesota United FC,,Minnesota,Minnesota United,
Portland Timbers,,Portland,Timbers,
Real Salt Lake,,,,
San Jose Earthquakes,,San Jose,SJ Earthquakes,
Seattle Sounders FC,,Seattle,Sounders,Seattle Sounders
Sporting Kansas City,,Kansas,,
Vancouver Whitecaps FC,Vancouver,Whitecaps,,